"Carimbo de data/hora","Qual é a sua idade?","Qual o seu gênero?","Qual a sua escolaridade?","Durante o tempo em que cursou o ensino fundamental, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino fundamental?","Durante o tempo em que cursou o ensino médio, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino médio?","De modo geral, que importância a arte tem na sua vida? O que ela representa para você?","Você acha que a educação artística é importante na formação de um indivíduo?","Supondo que o acesso à tecnologia fosse democratizado, você acha que os futuros alunos se beneficiariam da integração da tecnologia no modelo convencional de educação?","Você acha que trazer tecnologia para aulas de educação artística fariam os alunos se interessarem mais nos assuntos abordados?","Agradecemos pela sua contribuição! Caso tenha alguma crítica, observação, reclamação, ou qualquer coisa que deseja nos dizer, sinta-se a vontade para nos escrever."
"2021/04/29 6:31:20 PM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Não.","Não.","Não tive aulas dessa matéria.","Não me interesso por arte.;Uma ferramenta política de denúncia ou protesto.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 6:50:23 PM GMT-3","18 a 21.","Masculino.","Superior completo.","Sim.","Não.","Sim.","Não.","Não me interesso por arte.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 7:06:01 PM GMT-3","22 a 29.","Masculino.","Superior incompleto.","Sim.","Não.","Sim.","Não.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 7:16:32 PM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Um pouco importante.","Sim.","Sim.",""
"2021/04/29 7:19:14 PM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Não.","Sim.","Não.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Introspecção e autoconhecimento.","Um pouco importante.","Sim.","Sim.","Brabo! Parabéns e vai fundo no TCC que vai der certo!!!"
"2021/04/29 7:24:25 PM GMT-3","22 a 29.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Não.","Não me interesso por arte.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 8:32:19 PM GMT-3","18 a 21.","Feminino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 8:51:06 PM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/29 8:54:53 PM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Não.","Não.","Não tive aulas dessa matéria.","Não me interesso por arte.","Um pouco importante.","Sim.","Não.",""
"2021/04/29 9:56:50 PM GMT-3","18 a 21.","Feminino.","Superior completo.","Sim.","Não.","Sim.","Não.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Um pouco importante.","Sim.","Sim.",""
"2021/04/30 3:16:51 AM GMT-3","30 a 39.","Feminino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/30 1:36:17 PM GMT-3","18 a 21.","Masculino.","Superior incompleto.","Sim.","Não.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.","Um pouco importante.","Sim.","Sim.",""
